full_text,username,created_at,klasifikasi
demi allah orang mau mudik,chanchanzip,Mon Mar 25 04:05:59 +0000 2024,Netral
later we will mudik to the same house,z_royaaaaaaaaaa,Mon Mar 25 09:44:55 +0000 2024,Netral
mudik lebaran,coeywna,Mon Mar 25 04:43:20 +0000 2024,Netral
keluarga hilgers mudik indonesia lihat cukup sering sempat diri utk libur indonesia,UpdateBolabola,Mon Mar 25 06:42:49 +0000 2024,Netral
gibah mudik,ayiicntik,Mon Mar 25 08:31:46 +0000 2024,Netral
siap mudik mokpo ngangon sapi sama ayang,fujamandal,Mon Mar 25 12:25:33 +0000 2024,Netral
aseek tarif tol naik oke gas oke gas pluto,AlnilamOmar,Mon Mar 25 09:59:52 +0000 2024,Netral
mudik dluan hehe,nisaetusfloris,Mon Mar 25 04:01:07 +0000 2024,Netral
tuju puncak arus mudik lebaran,Rorikalishaa,Mon Mar 25 12:38:16 +0000 2024,Netral
mudik duluan yah,ininabobo,Mon Mar 25 01:26:51 +0000 2024,Netral
ngapain saing sama nabi dah masuk surga bang bukan rebut tiket mudik,ribonk,Mon Mar 25 06:16:39 +0000 2024,Netral
minggu depan mudik kr,_ayundaprs,Mon Mar 25 23:15:24 +0000 2024,Netral
hoi mudik coyyy bukber siaaa teh,anyeunlir,Mon Mar 25 05:03:22 +0000 2024,Netral
operasi ketupat 2024 polri siaga 155165 ribu personel aman arus mudik lebaran news,liputan6dotcom,Mon Mar 25 08:53:35 +0000 2024,Netral
koper mudik awet a thread t rekomendasi saran koper kokoh kuat pulang kampung lebaran hari raya libur muat banyak size besar,usefulstuffs,Mon Mar 25 10:10:22 +0000 2024,Netral
pikir mudik motor,patria_tigabp,Mon Mar 25 12:33:44 +0000 2024,Netral
gimana gak ken mudik cobak,DokFun,Mon Mar 25 14:45:25 +0000 2024,Netral
tanggal 6 april udah mudik kalau gw bikin kpr kelas produk ringkas product metric yang mau ikut ndak ya,kotakmakan,Mon Mar 25 03:18:37 +0000 2024,Netral
redpunk mau mudik,andreatslonika_,Mon Mar 25 00:58:15 +0000 2024,Netral
war takjil tinggal war tiket mudik,mjnugraha,Mon Mar 25 17:07:44 +0000 2024,Netral
ksksks heejin kek org mau mudik bawa barang bawa banyak,ssugarcoookies,Mon Mar 25 17:22:17 +0000 2024,Netral
wtt want to trade sonny angel have bear baking treats want dalmation getting ready tags songel hsh home sweet home dalmi roti o lempuyangan asu mudik help,megvmiik,Mon Mar 25 15:52:32 +0000 2024,Positif
pagiiiii buat bekal libur mudik bakal banyak judul nemenin nih rencana 3 pekan rombong judul ini bocor awal bulan apreal moga jadwal tepat waktu,comic_lxlc,Mon Mar 25 02:13:56 +0000 2024,Netral
lebaran kalian mudik ga,jembulnana,Mon Mar 25 03:32:43 +0000 2024,Netral
beliau mudik kampung halaman,terriyakikatsu,Mon Mar 25 14:40:20 +0000 2024,Netral
polri hal korps lalu lintas siap pola kelola arus mudikbalik lebaran tahun 2024 mari sama jaga kamtibmas pasti nyamansambutkemenangan,Sekdemangpmj,Mon Mar 25 10:40:46 +0000 2024,Netral
